Format, Traqmate Trackvision, V2
Track, Portland
Vehicle, CORRADO
Driver, DJ
Starting Date, 18/08/2019
Starting Time, 16:45:16.000
Sample Rate (samps/sec), 40
Duration (secs),   2449.500
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap
0,79203000,2067,887.150000,45.594178,-122.691603,-778.675302,647.703254,6,-8.000000,-39.000000,16.000000,0.000000,97.392783,157.409399,-0.211470,0.075812,5535,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.175000,45.594182,-122.691616,-777.305931,644.405171,6,-8.000000,-39.000000,16.000000,0.000000,97.508743,157.409399,-0.077061,0.045126,5535,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.200000,45.594185,-122.691629,-775.938627,641.101628,6,-8.000000,-39.000000,16.000000,0.000000,97.550999,157.409399,-0.146953,0.046931,5547,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.225000,45.594189,-122.691642,-774.571435,637.796361,6,-8.000000,-39.000000,16.000000,0.000000,97.631582,157.409399,-0.146953,0.046931,5559,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79203250,2067,887.250000,45.594193,-122.691656,-773.029776,634.104912,6,-9.000000,-40.000000,16.000000,0.000000,98.453986,157.340378,-0.069892,0.063177,5565,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.275000,45.594197,-122.691669,-771.634323,630.775548,6,-9.000000,-40.000000,16.000000,0.000000,98.492312,157.340378,-0.177419,0.106498,5565,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.300000,45.594201,-122.691682,-770.236288,627.445744,6,-9.000000,-40.000000,16.000000,0.000000,98.589600,157.340378,-0.077061,0.093863,5577,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.325000,45.594205,-122.691695,-768.839793,624.111425,6,-9.000000,-40.000000,16.000000,0.000000,98.631857,157.340378,-0.155914,0.039711,5577,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.350000,45.594209,-122.691708,-767.448463,620.773269,6,-9.000000,-40.000000,16.000000,0.000000,98.717352,157.340378,-0.145161,0.063177,5583,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.375000,45.594212,-122.691721,-766.054926,617.432638,6,-9.000000,-40.000000,16.000000,0.000000,98.796952,157.340378,-0.069892,0.016245,5589,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.400000,45.594216,-122.691735,-764.664927,614.087371,6,-9.000000,-40.000000,16.000000,0.000000,98.835278,157.340378,-0.213262,0.113718,5595,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.425000,45.594220,-122.691748,-763.267454,610.743697,6,-9.000000,-40.000000,16.000000,0.000000,98.952220,157.340378,-0.093190,0.061372,5589,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.450000,45.594224,-122.691761,-761.874337,607.393562,6,-9.000000,-40.000000,16.000000,0.000000,99.003321,157.340378,-0.129032,0.057762,5601,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203250,2067,887.475000,45.594228,-122.691774,-760.481911,604.041110,6,-9.000000,-40.000000,16.000000,0.000000,99.074076,157.340378,-0.129032,0.057762,5614,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79203500,2067,887.500000,45.594232,-122.691787,-759.070423,600.667835,6,-8.000000,-40.000000,16.000000,0.000000,99.144831,157.591720,-0.089606,0.086643,5614,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.525000,45.594235,-122.691800,-757.678189,597.309686,6,-8.000000,-40.000000,16.000000,0.000000,99.193967,157.591720,-0.150538,0.068592,5614,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.550000,45.594239,-122.691813,-756.288220,593.948649,6,-8.000000,-40.000000,16.000000,0.000000,99.276514,157.591720,-0.078853,0.119134,5620,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.575000,45.594243,-122.691826,-754.894617,590.585840,6,-8.000000,-40.000000,16.000000,0.000000,99.319754,157.591720,-0.134409,0.072202,5632,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
